"DateTime","Price","Losses","Break Even","Profit"
"2021-04-18 00:00:00",56589.22,2962352,3367856,32053270
"2021-04-19 00:00:00",55940.86,3884864,1849461,32751097
"2021-04-20 00:00:00",55265.39,4925856,1210954,32503814
"2021-04-21 00:00:00",55221.38,3602116,2340992,32824436
"2021-04-22 00:00:00",52989.2,6214991,628585,32093630
"2021-04-23 00:00:00",49804,7236894,4328910,27370530
"2021-04-24 00:00:00",49996.67,6643107,1062810,31294588
"2021-04-25 00:00:00",48824.74,7756552,3808679,27360874
"2021-04-26 00:00:00",51616.56,6006516,309302,32475964
"2021-04-27 00:00:00",54424.27,4572506,1420522,32874970
"2021-04-28 00:00:00",55174.09,3565486,2080152,33228386
"2021-04-29 00:00:00",53808.33,3884880,1944008,33017537
"2021-04-30 00:00:00",55537.13,360786,4771050,33784301
"2021-05-01 00:00:00",57778.03,1681435,2187397,35023014
"2021-05-02 00:00:00",57013.77,1646612,2515539,34694358
"2021-05-03 00:00:00",57747.72,1772391,2805334,33937301
"2021-05-04 00:00:00",55167.43,1899321,3262774,33198553
"2021-05-05 00:00:00",55461.5,4241575,2018894,31973583
"2021-05-06 00:00:00",56846.08,1556770,3032092,33627487
"2021-05-07 00:00:00",57003.23,2045445,3457608,32719319
"2021-05-08 00:00:00",58253.57,1437751,3085910,33700989
"2021-05-09 00:00:00",57813.99,989505,2054173,35157665
"2021-05-10 00:00:00",56913.1,1129301,3110884,33769002
"2021-05-11 00:00:00",55709.38,2865586,3066727,31987732
"2021-05-12 00:00:00",53594.17,5767046,5210193,26954117
"2021-05-13 00:00:00",49203.86,7173850,1077467,29691802
"2021-05-14 00:00:00",50232.36,6640472,1307319,30011040
"2021-05-15 00:00:00",48658.12,6515019,1524128,29978494
"2021-05-16 00:00:00",46863.76,7682830,1054344,29276253
"2021-05-17 00:00:00",44398.01,8782016,2236859,26918835
"2021-05-18 00:00:00",44064.38,8519588,392473,29083102
"2021-05-19 00:00:00",36744.77,9077484,1983860,27022017
"2021-05-20 00:00:00",38764.64,9064200,894768,28227401
"2021-05-21 00:00:00",37902.44,8975205,2219823,27104451
"2021-05-22 00:00:00",37064.82,8871990,1335467,28209572
"2021-05-23 00:00:00",34730.87,10228728,999440,27196595
"2021-05-24 00:00:00",37206.34,5326276,4227006,28744236
"2021-05-25 00:00:00",38175.99,8268526,1110813,28903605
"2021-05-26 00:00:00",39355.31,8244814,1667733,28361051
"2021-05-27 00:00:00",38810.39,8110044,1248693,28948192
"2021-05-28 00:00:00",36806.68,8069237,1886463,28410855
"2021-05-29 00:00:00",35486.58,9110247,1476639,27739622
"2021-05-30 00:00:00",34941.14,9832129,985841,27444881
"2021-05-31 00:00:00",35857.83,8820386,1570330,27614429
"2021-06-01 00:00:00",36821.85,7913927,1672201,28334976
"2021-06-02 00:00:00",37080.26,8256290,1853582,27816444
"2021-06-03 00:00:00",38341.19,7688919,1806745,28344455
"2021-06-04 00:00:00",37445.26,7394744,1325705,29116772
"2021-06-05 00:00:00",36378.96,7812010,2095940,27939928
"2021-06-06 00:00:00",35859.07,8597696,1797044,27478417
"2021-06-07 00:00:00",35078.76,8249726,2090408,27519060
"2021-06-08 00:00:00",32547.72,9753248,955595,27156927
"2021-06-09 00:00:00",34981.8,4965690,5004514,27868086
"2021-06-10 00:00:00",37104.13,7378234,2053087,28485653
"2021-06-11 00:00:00",36823.85,7516971,2701961,27775977
"2021-06-12 00:00:00",36050.27,7327196,2446635,28299398
"2021-06-13 00:00:00",37088.46,8080741,2435313,27423148
"2021-06-14 00:00:00",39890.6,6943553,1652680,29277357
"2021-06-15 00:00:00",40416.88,6801985,822443,30244258
"2021-06-16 00:00:00",39305.01,6839134,1296596,29782516
"2021-06-17 00:00:00",38461.99,7066530,2387101,28472344
"2021-06-18 00:00:00",36680.06,7275811,2239815,28432571
"2021-06-19 00:00:00",35653.21,8461384,2152788,27349355
"2021-06-20 00:00:00",34758.88,8880354,1842233,27286369
"2021-06-21 00:00:00",33522.66,10748637,454073,26827099
"2021-06-22 00:00:00",31110.47,11009711,457281,26580995
"2021-06-23 00:00:00",33310.98,10682624,810861,26628868
"2021-06-24 00:00:00",33804.03,9861120,1253696,27060657
"2021-06-25 00:00:00",33392.38,10699444,572426,26917294
"2021-06-26 00:00:00",31435.74,10983309,602756,26551885
"2021-06-27 00:00:00",33392.82,10258568,1304930,26593699
"2021-06-28 00:00:00",34591.71,8930583,1984216,27316558
"2021-06-29 00:00:00",35434.29,9022174,2038754,27283237
"2021-06-30 00:00:00",35076.21,7910895,2420610,28080746
"2021-07-01 00:00:00",33911.37,8795418,2010164,27688406
"2021-07-02 00:00:00",33341.82,9484677,2049399,27075611
"2021-07-03 00:00:00",34138.98,9354457,2202537,27064036
"2021-07-04 00:00:00",35168.16,8689765,2579260,27202338
"2021-07-05 00:00:00",34221.16,8520810,2060316,27745421
"2021-07-06 00:00:00",34327.7,9056596,2163074,26974012
"2021-07-07 00:00:00",34437.12,8697206,2409785,27092579
"2021-07-08 00:00:00",33021.49,9272644,2017845,26929518
"2021-07-09 00:00:00",33175.4,10244750,1235437,26768210
"2021-07-10 00:00:00",33641.83,8973353,2240166,27015402
"2021-07-11 00:00:00",33965.55,9232708,2122967,26896843
"2021-07-12 00:00:00",33659.42,8575561,2587426,27024943
"2021-07-13 00:00:00",32770.84,9729023,1729950,26723326
"2021-07-14 00:00:00",32350.6,10049332,1394901,26709733
"2021-07-15 00:00:00",32161.15,9881445,1571946,26695767
"2021-07-16 00:00:00",31651.54,10733451,1014501,26401570
"2021-07-17 00:00:00",31580.21,10883058,915234,26382584
"2021-07-18 00:00:00",31788.92,10715166,1108093,26380994
"2021-07-19 00:00:00",31197.14,10532680,1266042,26376670
"2021-07-20 00:00:00",30191.99,10960035,816471,26343752
"2021-07-21 00:00:00",31164,10534939,1032460,26555092
"2021-07-22 00:00:00",32171.44,10148636,1122694,26860575
"2021-07-23 00:00:00",32825.28,10090157,1087484,26963382
"2021-07-24 00:00:00",33974.42,8895104,1555669,27727814
"2021-07-25 00:00:00",34637.49,8008487,1635132,28004776
"2021-07-26 00:00:00",37912.05,6368342,1352388,29932978
"2021-07-27 00:00:00",37978.98,6561677,1108193,29942986
"2021-07-28 00:00:00",39857.99,5890512,910868,30820932
"2021-07-29 00:00:00",39957.73,5872846,953039,30798928
"2021-07-30 00:00:00",40323.97,5847031,967000,30860995
"2021-07-31 00:00:00",41719.6,5750481,329752,31641791
"2021-08-01 00:00:00",41028.1,5807737,891240,31044171
"2021-08-02 00:00:00",39572.31,6098121,1289424,30290365
"2021-08-03 00:00:00",38729.34,6592813,1195068,29921252
"2021-08-04 00:00:00",38743.68,6534024,1317295,29858168
"2021-08-05 00:00:00",39369.59,6003159,1806716,29939548
"2021-08-06 00:00:00",41629.34,5661620,627927,31474340
"2021-08-07 00:00:00",43602.54,5451464,462529,31883456
"2021-08-08 00:00:00",44305.46,5367928,599200,31812748
"2021-08-09 00:00:00",44647.04,5344336,735714,31661840
"2021-08-10 00:00:00",45685.38,5073568,818969,31862327
"2021-08-11 00:00:00",46062.2,5016366,818115,31967600
"2021-08-12 00:00:00",45000.31,5261034,1057103,31510831
"2021-08-13 00:00:00",46075.59,5003734,1113237,31746314
"2021-08-14 00:00:00",47092.77,4743890,1118242,32060575
"2021-08-15 00:00:00",46493.08,4865560,1246063,31768002
"2021-08-16 00:00:00",46872.76,4760218,1366626,31714398
"2021-08-17 00:00:00",45769.88,5003716,1554048,31265665
"2021-08-18 00:00:00",45132.94,5513080,1344316,30990159
"2021-08-19 00:00:00",45513.13,5272212,1622544,30971508
"2021-08-20 00:00:00",48014.75,4394292,1161043,32324712
"2021-08-21 00:00:00",49069.93,4029429,1184340,32693118
"2021-08-22 00:00:00",48816.09,4109753,1314778,32464039
"2021-08-23 00:00:00",49781.04,3916551,1224418,32705671
"2021-08-24 00:00:00",48720.32,4102392,1528518,32181399
"2021-08-25 00:00:00",48196.41,4470548,1410990,31986912
"2021-08-26 00:00:00",47907.44,4564772,1581293,31786118
"2021-08-27 00:00:00",47771.56,4662198,1643328,31673086
"2021-08-28 00:00:00",48846.69,4079207,1878693,32062470
"2021-08-29 00:00:00",48747.49,4116513,1928400,32004438
"2021-08-30 00:00:00",47875.29,4595263,1865399,31548935
"2021-08-31 00:00:00",47483.23,5152123,1562918,31319366
