timestamp,-1min,-2min,-3min,-4min,-5min,-6min,-7min,MA7,price
1680822780,,,,,,,,,28055.71
1680822840,28055.71,,,,,,,,28057.91
1680822900,28057.91,28055.71,,,,,,,28059.26
1680822960,28059.26,28057.91,28055.71,,,,,,28058.97
1680823020,28058.97,28059.26,28057.91,28055.71,,,,,28054.4
1680823080,28054.4,28058.97,28059.26,28057.91,28055.71,,,,28054.35
1680823140,28054.35,28054.4,28058.97,28059.26,28057.91,28055.71,,,28055.62
1680823200,28055.62,28054.35,28054.4,28058.97,28059.26,28057.91,28055.71,28056.602857142858,28053.6
1680823260,28053.6,28055.62,28054.35,28054.4,28058.97,28059.26,28057.91,28056.30142857143,28043.61
1680823320,28043.61,28053.6,28055.62,28054.35,28054.4,28058.97,28059.26,28054.25857142857,28037.15
1680823380,28037.15,28043.61,28053.6,28055.62,28054.35,28054.4,28058.97,28051.1,28039.49
1680823440,28039.49,28037.15,28043.61,28053.6,28055.62,28054.35,28054.4,28048.317142857144,28039.18
1680823500,28039.18,28039.49,28037.15,28043.61,28053.6,28055.62,28054.35,28046.14285714286,28037.71
1680823560,28037.71,28039.18,28039.49,28037.15,28043.61,28053.6,28055.62,28043.765714285717,28053.2
1680823620,28053.2,28037.71,28039.18,28039.49,28037.15,28043.61,28053.6,28043.420000000006,28054.06
1680823680,28054.06,28053.2,28037.71,28039.18,28039.49,28037.15,28043.61,28043.48571428571,28055.44
1680823740,28055.44,28054.06,28053.2,28037.71,28039.18,28039.49,28037.15,28045.175714285713,28056.41
1680823800,28056.41,28055.44,28054.06,28053.2,28037.71,28039.18,28039.49,28047.92714285714,28056.26
1680823860,28056.26,28056.41,28055.44,28054.06,28053.2,28037.71,28039.18,28050.322857142855,28052.58
1680823920,28052.58,28056.26,28056.41,28055.44,28054.06,28053.2,28037.71,28052.237142857142,28045.16
1680823980,28045.16,28052.58,28056.26,28056.41,28055.44,28054.06,28053.2,28053.30142857143,28034.56
1680824040,28034.56,28045.16,28052.58,28056.26,28056.41,28055.44,28054.06,28050.63857142857,28030.93
1680824100,28030.93,28034.56,28045.16,28052.58,28056.26,28056.41,28055.44,28047.33428571429,28031.46
1680824160,28031.46,28030.93,28034.56,28045.16,28052.58,28056.26,28056.41,28043.908571428572,28033.61
1680824220,28033.61,28031.46,28030.93,28034.56,28045.16,28052.58,28056.26,28040.65142857143,28034.4
1680824280,28034.4,28033.61,28031.46,28030.93,28034.56,28045.16,28052.58,28037.528571428575,28031.23
1680824340,28031.23,28034.4,28033.61,28031.46,28030.93,28034.56,28045.16,28034.47857142857,28034.47
