timestamp,-1min,-2min,-3min,-4min,-5min,-6min,-7min,-8min,-9min,-10min,-11min,-12min,-13min,-14min,-15min,-16min,-17min,-18min,-19min,-20min,-21min,-22min,-23min,-24min,-25min,-26min,-27min,-28min,-29min,-30min,-31min,-32min,-33min,-34min,-35min,-36min,-37min,-38min,-39min,-40min,-41min,-42min,-43min,-44min,-45min,-46min,-47min,-48min,-49min,-50min,MA7,MA25,MA50,price
1680840660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28036.4
1680840720,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28037.03
1680840780,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28036.99
1680840840,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28038.37
1680840900,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28039.17
1680840960,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28036.52
1680841020,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28034.82
1680841080,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28037.042857142857,,,28031.74
1680841140,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28036.37714285714,,,28035.79
1680841200,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28036.2,,,28032.34
1680841260,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28035.535714285714,,,28031.62
1680841320,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28034.571428571428,,,28033.31
1680841380,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28033.734285714283,,,28031.95
1680841440,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28033.08142857143,,,28015.35
1680841500,28015.35,28031.95,28033.31,28031.62,28032.34,28035.79,28031.74,28034.82,28036.52,28039.17,28038.37,28036.99,28037.03,28036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28030.3,,,28026.82
